"id","timestampStart","timestampEnd","bikeNumber","stationStart","stationEnd","startLocationLat","startLocationLon","endLocationLat","endLocationLon","distanceInMeters","timeInMinutes"
"137","2022-10-14","2022-10-14","1013","37","21","46.03784","14.50001","46.06928","14.48971","3584","23"
"138","2022-10-15","2022-10-15","1013","21","16","46.06928","14.48971","46.05257","14.51928","2947","15"
"139","2022-10-12","2022-10-12","1141","54","41","46.065206","14.529911","46.041753","14.477016","4853","33"
"140","2022-10-12","2022-10-12","1141","41","4","46.041753","14.477016","46.052431","14.503257","2352","14"
"141","2022-10-12","2022-10-12","1141","4","20","46.052431","14.503257","46.06342","14.494588","1394","12"
"142","2022-10-12","2022-10-12","1141","20","15","46.06342","14.494588","46.049877","14.516308","2256","18"
"143","2022-10-12","2022-10-12","1141","15","73","46.049877","14.516308","46.090608","14.471637","5696","32"
"144","2022-10-13","2022-10-13","1141","73","8","46.090608","14.471637","46.05682","14.50551","4579","33"
"145","2022-10-13","2022-10-13","1141","8","26","46.05682","14.50551","46.051439","14.49273","1156","9"
"146","2022-10-13","2022-10-13","1141","26","4","46.051439","14.49273","46.052431","14.503257","822","68"
"147","2022-10-13","2022-10-13","1141","4","17","46.052431","14.503257","46.053144","14.513479","795","8"
"148","2022-10-13","2022-10-13","1141","17","10","46.053144","14.513479","46.05763","14.514264","502","5"
"149","2022-10-13","2022-10-13","1141","10","3","46.05763","14.514264","46.050388","14.504623","1098","12"
"150","2022-10-13","2022-10-13","1141","3","59","46.050388","14.504623","46.063797","14.506854","1500","11"
"151","2022-10-13","2022-10-13","1141","59","33","46.063797","14.506854","46.087079","14.475439","3550","21"
"152","2022-10-13","2022-10-13","1141","33","4","46.087079","14.475439","46.052431","14.503257","4412","56"
"153","2022-10-13","2022-10-13","1141","4","78","46.052431","14.503257","46.039384","14.485458","2000","18"
"154","2022-10-14","2022-10-14","1141","78","21","46.039384","14.485458","46.06928","14.48971","3339","173"
"155","2022-10-14","2022-10-14","1141","21","77","46.06928","14.48971","46.068727","14.516858","2101","17"
"156","2022-10-14","2022-10-14","1141","77","12","46.068727","14.516858","46.06361","14.51315","637","9"
"157","2022-10-14","2022-10-14","1141","12","31","46.06361","14.51315","46.08259","14.52016","2178","17"
"158","2022-10-14","2022-10-14","1141","31","30","46.08259","14.52016","46.07589","14.52011","745","12"
"159","2022-10-14","2022-10-14","1141","30","10","46.07589","14.52011","46.05763","14.514264","2079","23"
"160","2022-10-15","2022-10-15","1141","10","59","46.05763","14.514264","46.063797","14.506854","894","26"
"161","2022-10-15","2022-10-15","1141","59","11","46.063797","14.506854","46.06005","14.51302","633","9"
"162","2022-10-12","2022-10-12","343","11","30","46.06005","14.51302","46.07589","14.52011","1844","12"
"163","2022-10-12","2022-10-12","343","30","54","46.07589","14.52011","46.065206","14.529911","1409","15"
"164","2022-10-12","2022-10-12","343","54","63","46.065206","14.529911","46.065175","14.539537","745","6"
"165","2022-10-12","2022-10-12","343","63","56","46.065175","14.539537","46.080522","14.491439","4093","27"
"166","2022-10-12","2022-10-12","343","56","62","46.080522","14.491439","46.077302","14.482581","773","9"
"167","2022-10-13","2022-10-13","343","62","4","46.077302","14.482581","46.052431","14.503257","3194","14"
"168","2022-10-13","2022-10-13","343","4","9","46.052431","14.503257","46.057421","14.510265","776","9"
"169","2022-10-13","2022-10-13","343","9","15","46.057421","14.510265","46.049877","14.516308","960","12"
"170","2022-10-13","2022-10-13","343","15","9","46.049877","14.516308","46.057421","14.510265","960","9"
"171","2022-10-13","2022-10-13","343","9","5","46.057421","14.510265","46.046498","14.505148","1277","11"
"172","2022-10-13","2022-10-13","343","5","13","46.046498","14.505148","46.047565","14.495687","742","9"
"173","2022-10-13","2022-10-13","343","13","55","46.047565","14.495687","46.048982","14.522709","2097","26"
"174","2022-10-13","2022-10-13","343","55","77","46.048982","14.522709","46.068727","14.516858","2241","14"
"175","2022-10-13","2022-10-13","343","77","78","46.068727","14.516858","46.039384","14.485458","4067","30"
"176","2022-10-13","2022-10-13","343","78","39","46.039384","14.485458","46.037003","14.465229","1588","15"
"177","2022-10-12","2022-10-12","492","11","8","46.06005","14.51302","46.05682","14.50551","683","11"
"178","2022-10-12","2022-10-12","492","8","27","46.05682","14.50551","46.065136","14.509112","965","9"
"179","2022-10-12","2022-10-12","492","27","12","46.065136","14.509112","46.06361","14.51315","356","6"
"180","2022-10-12","2022-10-12","492","12","26","46.06361","14.51315","46.051439","14.49273","2080","17"
"181","2022-10-12","2022-10-12","492","26","77","46.051439","14.49273","46.068727","14.516858","2679","27"
"182","2022-10-12","2022-10-12","492","77","17","46.068727","14.516858","46.053144","14.513479","1752","23"
"183","2022-10-12","2022-10-12","492","17","44","46.053144","14.513479","46.064546","14.518013","1315","15"
"184","2022-10-13","2022-10-13","492","44","1","46.064546","14.518013","46.051367","14.506542","1713","14"
"185","2022-10-13","2022-10-13","492","1","18","46.051367","14.506542","46.044629","14.486699","1709","54"
"186","2022-10-13","2022-10-13","492","18","76","46.044629","14.486699","46.04843","14.461086","2027","11"
"187","2022-10-13","2022-10-13","492","76","75","46.04843","14.461086","46.045617","14.462281","326","6"
"188","2022-10-13","2022-10-13","492","75","76","46.045617","14.462281","46.04843","14.461086","326","20"
"189","2022-10-13","2022-10-13","492","76","42","46.04843","14.461086","46.08929","14.513751","6102","36"
"190","2022-10-13","2022-10-13","492","42","23","46.08929","14.513751","46.04081","14.49951","5500","36"
"191","2022-10-13","2022-10-13","492","23","14","46.04081","14.49951","46.046377","14.501256","633","8"
"192","2022-10-13","2022-10-13","492","14","46","46.046377","14.501256","46.059433","14.52051","2080","30"
"193","2022-10-13","2022-10-13","492","46","45","46.059433","14.52051","46.062475","14.524321","449","6"
"194","2022-10-14","2022-10-14","492","45","59","46.062475","14.524321","46.063797","14.506854","1359","35"
"195","2022-10-14","2022-10-14","492","59","13","46.063797","14.506854","46.047565","14.495687","2001","15"
"196","2022-10-14","2022-10-14","492","13","53","46.047565","14.495687","46.053241","14.486206","968","36"
"197","2022-10-14","2022-10-14","492","53","59","46.053241","14.486206","46.063797","14.506854","1982","17"
"198","2022-10-14","2022-10-14","492","59","19","46.063797","14.506854","46.05952","14.4982","821","9"
"199","2022-10-14","2022-10-14","492","19","56","46.05952","14.4982","46.080522","14.491439","2392","18"
"200","2022-10-14","2022-10-14","492","56","62","46.080522","14.491439","46.077302","14.482581","773","12"
"201","2022-10-14","2022-10-14","492","62","33","46.077302","14.482581","46.087079","14.475439","1219","15"
"202","2022-10-14","2022-10-14","492","33","42","46.087079","14.475439","46.08929","14.513751","2973","24"
"203","2022-10-14","2022-10-14","492","42","45","46.08929","14.513751","46.062475","14.524321","3091","23"
"204","2022-10-12","2022-10-12","700","11","59","46.06005","14.51302","46.063797","14.506854","633","14"
"205","2022-10-12","2022-10-12","700","59","26","46.063797","14.506854","46.051439","14.49273","1755","12"
"206","2022-10-12","2022-10-12","700","26","3","46.051439","14.49273","46.050388","14.504623","928","29"
"207","2022-10-12","2022-10-12","700","3","78","46.050388","14.504623","46.039384","14.485458","1923","18"
"208","2022-10-12","2022-10-12","700","78","3","46.039384","14.485458","46.050388","14.504623","1923","41"
"209","2022-10-12","2022-10-12","700","3","26","46.050388","14.504623","46.051439","14.49273","928","15"
"210","2022-10-12","2022-10-13","700","26","12","46.051439","14.49273","46.06361","14.51315","2080","23"
